Percentage served,Time in ms
0,5930.339
1,5933.339
2,5934.339
3,5944.340
4,5945.340
5,5946.340
6,5947.340
7,5947.340
8,5952.340
9,5955.341
10,5958.341
11,5958.341
12,5961.341
13,5965.341
14,5968.341
15,5968.341
16,5970.341
17,5970.341
18,5970.342
19,5971.342
20,5973.342
21,5975.341
22,5976.342
23,5977.342
24,5982.342
25,5982.343
26,5985.343
27,5985.343
28,5990.343
29,5994.343
30,6000.343
31,6003.343
32,6003.343
33,6004.344
34,6008.344
35,6012.344
36,6015.344
37,6017.344
38,6018.345
39,6019.344
40,6021.344
41,6021.344
42,6024.344
43,6026.345
44,6031.345
45,6033.345
46,6034.345
47,6034.345
48,6034.346
49,6038.345
50,6038.346
51,6039.346
52,6045.345
53,6048.346
54,6054.346
55,6054.346
56,6057.347
57,6058.346
58,6060.346
59,6060.347
60,6062.347
61,6062.347
62,6063.347
63,6066.347
64,6069.347
65,6072.347
66,6072.347
67,6073.347
68,6079.348
69,6081.348
70,6082.348
71,6084.348
72,6085.348
73,6090.348
74,6092.348
75,6094.348
76,6097.349
77,6105.349
78,6110.349
79,6117.350
80,6117.350
81,6122.350
82,6128.350
83,6129.350
84,6132.351
85,6137.351
86,6140.351
87,6150.352
88,6157.352
89,6193.355
90,6217.356
91,6286.360
92,6294.360
93,6324.362
94,6367.364
95,6408.366
96,7001.400
97,7131.408
98,7205.412
99,7233.414
